#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
1210,30,Универзитет у Београду,Учитељски факултет,Државни факултет,1461,Студијски програм за образовање учитеља,Дипломирани учитељ,Друштвено-хуманистичке науке,Основне академске,99000,2000,240,612-00-00076/2014-04,06.02.2015.,300,152,,,,,,78,,,,,,,,,,,,0,219,0,152,78,0,230,8,4,219,,,,,,,DH,Државни факултет,
1214,30,Универзитет у Београду,Учитељски факултет,Државни факултет,1465,Студијски програм за образовање васпитача,Дипломирани васпитач,Друштвено-хуманистичке науке,Основне академске,99000,2000,240,612-00-00076/2014-04,06.02.2015.,140,95,,,,,,45,,,,,,,,,,,,0,202,0,95,45,0,140,8,4,202,,,,,,,DH,Државни факултет,
1225,75,Универзитет у Приштини,"Факултет техничких наука, Косовска Митровица",Државни факултет,1484,Архитектура,Дипломирани инжењер архитектуре (техничке науке),Техничко-технолошке науке,Основне академске,30000,1200,240,612-00-00106/2014-04,23/05/2014,40,33,38,,,,,6,,,,,,,,,,,,0,19,0,71,6,0,77,8,4,19,,,,,,,TT,Државни факултет,
1227,75,Универзитет у Приштини,"Факултет техничких наука, Косовска Митровица",Државни факултет,1487,Машинско инжењерство,Дипломирани инжењер машинства,Техничко-технолошке науке,Основне академске,30000,1200,240,612-00-00106/2014-04,30/05/2014,60,30,14,,,,,6,1,,,,,,,,,,,0,22,0,44,7,0,51,8,4,22,,,,,,,TT,Државни факултет,
1230,75,Универзитет у Приштини,"Факултет техничких наука, Косовска Митровица",Државни факултет,1490,Електротехничко и рачунарско инжењерство,Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,30000,1200,240,612-00-00106/2014-04,30/05/2014,80,45,42,55,52,,,8,2,12,,,,,,,,,,12,36,0,194,22,0,216,8,4,36,,,,,,,TT,Државни факултет,
1231,75,Универзитет у Приштини,"Факултет техничких наука, Косовска Митровица",Државни факултет,1492,Индустријско инжењерство,Дипломирани инжењер индустријског инжењерства,Техничко-технолошке науке,Основне академске,30000,1200,240,612-00-00106/2014-04,20/06/2014,30,25,19,,,,,5,,,,,,,,,,,,0,26,0,44,5,0,49,8,4,26,,,,,,,TT,Државни факултет,
1232,75,Универзитет у Приштини,"Факултет техничких наука, Косовска Митровица",Државни факултет,1493,Рударско инжењерство,Дипломирани инжењер рударства,Техничко-технолошке науке,Основне академске,30000,1200,240,612-00-00106/2014-04,30/05/2014,16,8,11,2,,,,2,4,,,,,,,,,,,0,7,0,21,6,0,27,8,4,7,,,,,,,TT,Државни факултет,
1233,75,Универзитет у Приштини,"Факултет техничких наука, Косовска Митровица",Државни факултет,1496,Инжењерство заштите животне средине и заштите на раду,Дипломирани инжењер заштите животне средине,Техничко-технолошке науке,Основне академске,30000,1200,240,612-00-00106/2014-04,04/04/2014,24,32,29,37,,,,5,2,10,,,,,,,,,,0,6,0,98,17,0,115,8,4,6,,,,,,,TT,Државни факултет,
1234,75,Универзитет у Приштини,"Факултет техничких наука, Косовска Митровица",Државни факултет,1497,Инжењерство заштите животне средине и заштите на раду,Дипломирани инжењер заштите на раду,Техничко-технолошке науке,Основне академске,30000,1200,240,612-00-00106/2014-04,04/04/2014,18,,,,,,,,,,,,,,,,,,,0,5,0,0,0,0,0,8,4,5,,,,,,,TT,Државни факултет,
1235,75,Универзитет у Приштини,"Факултет техничких наука, Косовска Митровица",Државни факултет,1502,Технолошко инжењерство,Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,30000,1200,240,612-00-00106/2014-04,30/05/2014,32,22,21,20,,,,5,,5,,,,,,,,,,3,6,0,63,10,0,73,8,4,6,,,,,,,TT,Државни факултет,
1236,19,Универзитет у Београду,Физички факултет,Државни факултет,1761,Основне академске студије Општа физика 2015,Дипломирани физичар,Природно-математичке науке,Основне академске,60000,2650,240,612-00-02276/2014-04,20/02/2015,25,11,4,31,9,,,7,10,3,8,,,0,0,0,0,,,0,70,0,55,28,0,83,8,4,70,18,14,34,17,,,PM,Државни факултет,17
1238,26,Универзитет у Београду,Стоматолошки факултет,Државни факултет,1505,Интегрисане академске студије стоматологије,Доктор стоматологије,Медицинске науке,Интегр. академске,180000,5000,360,612-00-00659/2013-04,21/06/2013,240,200,146,112,131,137,229,60,139,131,65,29,42,2,10,3,1,3,5,157,730,34,955,466,24,1445,12,6,764,262,295,246,197,169,276,MD,Државни факултет,276
1249,53,Универзитет у Нишу,Медицински факултет,Државни факултет,1519,Медицински факултет Универзитета  у  Нишу - Интегрисане академске студије - стоматологија,Доктор стоматологије,Медицинске науке,Интегр. академске,120000,2500,360,612-00-01879/2017-06,10/11/2017,72,62,33,52,46,55,,29,59,33,11,111,,0,0,0,2,4,,53,94,70,248,243,6,497,12,6,164,91,92,85,59,170,,MD,Државни факултет,
